WADMPR,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Aceh,9,56834.15,942,56834.15
Bali,1,5590.15,431,5590.15
Banten,5,9352.77,490,9352.77
Bengkulu,7,20128.16,108,20128.16
DKI Jakarta,2,660.77,126,660.77
Daerah Istimewa Yogyakarta,3,3170.63,8,3170.63
Gorontalo,5,12025.01,522,12025.01
Jambi,8,49026.54,20,49026.54
Jawa Barat,8,37039.53,341,37039.53
Jawa Tengah,10,34337.25,232,34337.25
Jawa Timur,7,48232.84,1218,48232.84
Kalimantan Barat,10,147030.14,411,147030.14
Kalimantan Selatan,5,37127.61,312,37127.61
Kalimantan Tengah,9,153440.26,102,153440.26
Kalimantan Timur,8,126975.93,535,126975.93
Kalimantan Utara,4,70093.62,242,70093.62
Kepulauan Bangka Belitung,2,16688.68,846,16688.68
Kepulauan Riau,1,8267.06,2718,8267.06
Lampung,5,33569.3,867,33569.3
Maluku,3,46149.91,4804,46149.91
Maluku Utara,3,31472.28,3858,31472.28
Nusa Tenggara Barat,2,19675.13,1236,19675.13
Nusa Tenggara Timur,5,46445.73,3975,46445.73
Papua,2,82677.64,889,82677.64
Papua Barat,3,60255.41,2381,60255.41
Papua Barat Daya,1,39122.25,3934,39122.25
Papua Pegunungan,2,51213.33,4,51213.33
Papua Selatan,1,117384.18,33,117384.18
Papua Tengah,4,61068.23,237,61068.23
Riau,13,89809.14,192,89809.14
Sulawesi Barat,3,16594.32,342,16594.32
Sulawesi Selatan,10,45328.34,1058,45328.34
Sulawesi Tengah,11,61605.3,3909,61605.3
Sulawesi Tenggara,7,36153.99,1953,36153.99
Sulawesi Utara,4,14503.47,1078,14503.47
Sumatera Barat,10,42119.43,1091,42119.43
Sumatera Selatan,7,86764.46,59,86764.46
Sumatera Utara,14,72456.98,329,72456.98
